,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
942,404.9619475,Private room,FALSE,TRUE,2,TRUE,0,1,10,100,1,4.177432974,0.1543476351,225.828128,7.696586831,343.4201777,7.55973505,2.12237,41.37581
943,108.6880629,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,3.881059729,0.565911353,215.2730353,7.336852247,365.8911651,8.054390641,2.127,41.374
944,416.5987851,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,91,2,3.489805609,0.2030247435,224.8602322,7.663599383,414.1579859,9.116891916,2.13188,41.37436
945,393.5578467,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,2,1.615901997,0.215293475,366.2666736,12.48295897,864.427031,19.02869939,2.16249,41.37373
946,509.2280122,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,86,2,1.618729752,0.2834471472,372.0012198,12.67840156,894.8527569,19.69846325,2.16635,41.37282
947,106.5934322,Private room,FALSE,TRUE,2,FALSE,1,0,9,93,1,4.114599971,0.3358386305,210.0624853,7.159268301,343.786015,7.567788255,2.124,41.374
948,280.2150488,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,1.675226857,0.359358118,364.981367,12.43915365,850.7357496,18.72731214,2.16559,41.37242
949,376.1025904,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,92,2,1.820462725,0.3931952887,360.6339306,12.29098601,849.9078143,18.70908674,2.15558,41.37486
950,254.6140061,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,3.096035063,0.2736292006,248.7879007,8.479092915,447.7568512,9.856506349,2.1413,41.36953
951,138.9438406,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,0,1.838310941,0.2734354119,355.5264624,12.11691525,757.5112917,16.67515491,2.16036,41.37226
952,161.984779,Private room,FALSE,TRUE,2,FALSE,1,0,9,83,0,4.131930462,0.43341359,179.4054585,6.114427381,327.5165882,7.209648098,2.13545,41.36054
953,457.0949799,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,93,1,1.93368822,0.4187382852,370.488868,12.62685817,766.513552,16.87332236,2.15551,41.37357
954,138.9438406,Private room,FALSE,TRUE,2,FALSE,1,0,8,74,1,2.934896125,0.3591851186,253.9771238,8.655950009,494.5003718,10.8854751,2.13996,41.37348
955,104.0333279,Private room,FALSE,TRUE,2,FALSE,0,0,9,85,1,3.913523516,0.4346012559,229.34503,7.816448523,371.4242543,8.176190962,2.12575,41.37568
956,411.9440501,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,90,1,2.598605546,0.2338918243,275.0072692,9.372691281,574.1681816,12.63920878,2.142,41.377
957,509.2280122,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,89,1,2.612709064,0.2552361702,272.4896159,9.286885598,571.2264479,12.57445217,2.14175,41.3771
958,196.8952917,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,3.250374679,0.3978778749,232.227266,7.914679776,431.9386387,9.508298809,2.13772,41.37084
959,360.9747015,Private room,FALSE,TRUE,4,FALSE,1,0,10,96,1,3.233239782,0.1933331228,233.0159797,7.94156041,453.4756421,9.982394537,2.13617,41.37305
960,980.2871972,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,100,3,2.797708031,0.3416423994,256.1091054,8.72861138,544.2756802,11.98118283,2.13895,41.37777
961,560.1973608,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,80,1,2.967921572,0.2433434236,247.4735174,8.434296611,528.4864381,11.63361302,2.13694,41.37743
962,127.307003,Private room,FALSE,TRUE,4,FALSE,1,0,8,73,1,2.981689878,0.3633075063,250.7108895,8.544631477,483.8254606,10.65048745,2.13962,41.37309
963,208.2993926,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,3.090889782,0.3231364737,242.3432258,8.259448001,466.2927454,10.26453843,2.13835,41.37277
964,289.2917821,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,95,2,3.03036191,0.2024141526,244.7164367,8.340330857,513.3030713,11.29938038,2.13631,41.3771
965,1252.35646,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,90,2,2.489116196,0.1377258408,288.5467396,9.83413827,601.3104941,13.23669462,2.1438,41.37651
